service_id,date,exception_type
222097AD,20170415,2
222097AD,20170416,2
222097AD,20170417,2
222097AD,20170418,2
222097AD,20170419,2
222097AD,20170420,2
222097AD,20170421,2
222097AD,20170422,2
222097AD,20170423,2
222097AD,20170424,2
222097AD,20170425,2
222097AD,20170426,2
222097AD,20170427,2
222097AD,20170428,2
